description,key,text
Приветственное сообщение новому клиенту,welcome_new,"Вітаю 🌿 Я Міра Кода.

Рада, що ви тут 🤍 Через цього бота можна записатися до мене на сесію. Перед записом я поставлю кілька коротких запитань ✍🏻 Це допоможе мені краще зрозуміти ваш запит і підготуватися до нашої зустрічі."
Приветственное сообщение постоянному клиенту,welcome_returning,"З поверненням, {name}! 🌿
Обирайте дію в меню нижче."
Заголовок главного меню,menu_title,Головне меню:
Кнопка или текст главного меню,menu_book,📅 Записатися на сесію
Кнопка или текст главного меню,menu_my_bookings,📁 Мої записи
Кнопка или текст главного меню,menu_profile,👤 Мій профіль
Кнопка или текст главного меню,menu_rules,📌 Правила
Кнопка или текст главного меню,menu_package,💼 Оформити пакет
Кнопка или текст главного меню,menu_help,ℹ️ Допомога
Системный текст бота,client_type_prompt,"Оберіть, будь ласка:"
Текст кнопки,btn_new_client,Я новий клієнт
Текст кнопки,btn_returning_client,Я постійний клієнт
Вопрос анкеты,q_name,Як до вас звертатися? (ім'я)
Вопрос анкеты,q_age,Скільки вам років?
Вопрос анкеты,q_request,"Який у вас запит? Напишіть, будь ласка, коротко, що привело вас зараз на консультацію ✍🏻

📌 Водночас хочу одразу зазначити: я не працюю з такими темами:
• алкогольна та наркотична залежність
• розлади харчової поведінки (РХП)
• ПТСР
• сексуальне насильство як основний запит
• гостре переживання втрати як основний запит"
Вопрос анкеты,q_experience,"Чи був у вас раніше досвід психотерапії? Якщо так, розкажіть, будь ласка, коротко."
Вопрос анкеты,q_diagnosis,"Чи є у вас встановлені психіатричні або неврологічні діагнози?

Також підкажіть, чи приймаєте ви зараз будь-які препарати.

Якщо ні — напишіть «немає»."
Вопрос анкеты,q_age_invalid,"Будь ласка, вкажіть вік цифрами (наприклад: 27)."
Вопрос анкеты,q_saved,Дякую! Анкету збережено ✨
Текст правил перед сессией,rules_text,"Дякую за вашу довіру 💛

Ось важлива інформація перед нашою зустріччю:

1. Сесія триває 50 хвилин.
2. Будь ласка, приєднуйтесь вчасно та оберіть тихе місце, де вас не будуть відволікати.
3. За 30 хвилин до сесії ви отримаєте нагадування з посиланням на зустріч.

Умови скасування та перенесення:
• Більше ніж за 24 години — безкоштовно
• Менше ніж за 24 години — сесія оплачується
• 2 безкоштовних скасування протягом 6 місяців 💛

Рекомендації:
• Підготуйте питання або теми, які хочете обговорити
• Після сесії дайте собі трохи часу на інтеграцію
• Будьте до себе дбайливими 💛"
Системный текст бота,booking_success,"Ви успішно записані на сесію ✨

Найближчим часом ви отримаєте всі необхідні деталі."
Полный текст правил из меню,rules_menu,"📌 Правила запису та проведення сесій

💰 Вартість консультацій:
• Перша консультація — 30$ (50 хвилин)
• Наступні консультації — 35$ (50 хвилин)

Оплата можлива у гривнях за курсом НБУ на день оплати.

📦 Пакет консультацій:
Після 3-ї сесії відкривається можливість придбати пакет на місяць (4 сесії).
Пакет із 4 консультацій — 130$ (замість 140$)

📚 Для психологів та консультантів:
• Професійна консультація — 35$
Тривалість — 60–70 хвилин

🔁 Перенесення та скасування сесії:
• більше ніж за 24 години — безкоштовно
• менше ніж за 24 години — сесія оплачується
2 безкоштовних скасування протягом 6 місяців 💛

💛 Важливо:
Будь ласка, поважайте свій час і процес терапії."
Сообщение выбора слота,choose_slot,Оберіть зручний час для сесії:
Сообщение когда нет свободных слотов,no_slots,"На жаль, зараз немає вільних слотів. Спробуйте пізніше або напишіть адміністратору."
"Текст, связанный со слотами",slot_taken,"На жаль, цей слот щойно зайняли. Оберіть інший, будь ласка."
Подтверждение выбранного слота,confirm_slot,"Ви обираєте слот:

🗓 {slot}

Підтвердити?"
Текст кнопки,btn_confirm,✅ Підтвердити
Текст кнопки,btn_cancel,❌ Скасувати
Сообщение об отмене выбора слота,booking_cancelled,Запис скасовано.
Сообщение о резерве слота до оплаты,booking_reserved,"Чудово! 🌿 Слот {slot} зарезервовано для вас на {hold_min} хвилин.
Якщо за цей час оплата не надійде — слот буде автоматично звільнено."
Сообщение о брони за счет баланса,booking_free_via_credit,"У вас є сесія на балансі 🌿 — оплата не потрібна.
Запис закріплено на {slot}. За 30 хвилин до сесії надішлю нагадування."
Сообщение о снятии резерва по таймауту,slot_released_timeout,"На жаль, ви не встигли оплатити вчасно — слот {slot} звільнено. Спробуйте записатися знову з меню."
Сообщение выбора способа оплаты,payment_method_prompt,Оберіть спосіб оплати 💳
Текст кнопки,btn_pay_paypal,PayPal
Текст кнопки,btn_pay_monobank,Monobank
"Текст, связанный с оплатой",payment_paypal,"Оплата через PayPal:

Надішліть оплату на email:
{link}

Після оплати натисніть кнопку нижче 👇"
"Текст, связанный с оплатой",payment_monobank,"Оплата на карту:

{card}

Після оплати натисніть кнопку нижче 👇"
Системный текст бота,paid_button,Оплата є
Сообщение пользователю ждать подтверждение оплаты,payment_waiting_admin,Очікуйте підтвердження оплати
Короткое сообщение об подтвержденной оплате,payment_confirmed_short,"Платіж підтверджено ✅
Ваш запис зафіксовано."
