key,text
welcome_new,"Вітаю 🌿 Я Міра Кода.

Рада, що ви тут 🤍 Через цього бота можна записатися до мене на сесію. Перед записом я поставлю кілька коротких запитань ✍🏻 Це допоможе мені краще зрозуміти ваш запит і підготуватися до нашої зустрічі."
welcome_returning,"З поверненням, {name}! 🌿
Обирайте дію в меню нижче."
menu_title,Головне меню:
menu_book,📅 Записатися на сесію
menu_my_bookings,📁 Мої записи
menu_profile,👤 Мій профіль
menu_rules,📌 Правила
menu_package,💼 Оформити пакет
menu_help,ℹ️ Допомога
client_type_prompt,"Оберіть, будь ласка:"
btn_new_client,Я новий клієнт
btn_returning_client,Я постійний клієнт
q_name,Як до вас звертатися? (ім'я)
q_age,Скільки вам років?
q_request,"Який у вас запит? Напишіть, будь ласка, коротко, що привело вас зараз на консультацію ✍🏻

📌 Водночас хочу одразу зазначити: я не працюю з такими темами:
• алкогольна та наркотична залежність
• розлади харчової поведінки (РХП)
• ПТСР
• сексуальне насильство як основний запит
• гостре переживання втрати як основний запит"
q_experience,"Чи був у вас раніше досвід психотерапії? Якщо так, розкажіть, будь ласка, коротко."
q_diagnosis,"Чи є у вас встановлені психіатричні або неврологічні діагнози?

Також підкажіть, чи приймаєте ви зараз будь-які препарати.

Якщо ні — напишіть «немає»."
q_age_invalid,"Будь ласка, вкажіть вік цифрами (наприклад: 27)."
q_saved,Дякую! Анкету збережено ✨
rules_text,"Дякую за вашу довіру 💛

Ось важлива інформація перед нашою зустріччю:

1. Сесія триває 50 хвилин.
2. Будь ласка, приєднуйтесь вчасно та оберіть тихе місце, де вас не будуть відволікати.
3. За 30 хвилин до сесії ви отримаєте нагадування з посиланням на зустріч.

Умови скасування та перенесення:
• Більше ніж за 24 години — безкоштовно
• Менше ніж за 24 години — сесія оплачується
• 2 безкоштовних скасування протягом 6 місяців 💛

Рекомендації:
• Підготуйте питання або теми, які хочете обговорити
• Після сесії дайте собі трохи часу на інтеграцію
• Будьте до себе дбайливими 💛"
booking_success,"Ви успішно записані на сесію ✨

Найближчим часом ви отримаєте всі необхідні деталі."
rules_menu,"📌 Правила запису та проведення сесій

💰 Вартість консультацій:
• Перша консультація — 30$ (50 хвилин)
• Наступні консультації — 35$ (50 хвилин)

Оплата можлива у гривнях за курсом НБУ на день оплати.

📦 Пакет консультацій:
Після 3-ї сесії відкривається можливість придбати пакет на місяць (4 сесії).
Пакет із 4 консультацій — 130$ (замість 140$)

📚 Для психологів та консультантів:
• Професійна консультація — 35$
Тривалість — 60–70 хвилин

🔁 Перенесення та скасування сесії:
• більше ніж за 24 години — безкоштовно
• менше ніж за 24 години — сесія оплачується
2 безкоштовних скасування протягом 6 місяців 💛

💛 Важливо:
Будь ласка, поважайте свій час і процес терапії."
choose_slot,Оберіть зручний час для сесії:
no_slots,"На жаль, зараз немає вільних слотів. Спробуйте пізніше або напишіть адміністратору."
slot_taken,"На жаль, цей слот щойно зайняли. Оберіть інший, будь ласка."
confirm_slot,"Ви обираєте слот:

🗓 {slot}

Підтвердити?"
btn_confirm,✅ Підтвердити
btn_cancel,❌ Скасувати
booking_cancelled,Запис скасовано.
booking_reserved,"Чудово! 🌿 Слот {slot} зарезервовано для вас на {hold_min} хвилин.
Якщо за цей час оплата не надійде — слот буде автоматично звільнено."
booking_free_via_credit,"У вас є сесія на балансі 🌿 — оплата не потрібна.
Запис закріплено на {slot}. За 30 хвилин до сесії надішлю нагадування."
slot_released_timeout,"На жаль, ви не встигли оплатити вчасно — слот {slot} звільнено. Спробуйте записатися знову з меню."
payment_method_prompt,Оберіть спосіб оплати 💳
btn_pay_paypal,PayPal
btn_pay_monobank,Monobank
payment_paypal,"Оплата через PayPal:

Надішліть оплату на email:
{link}

Після оплати натисніть кнопку нижче 👇"
payment_monobank,"Оплата на карту:

{card}

Після оплати натисніть кнопку нижче 👇"
paid_button,Оплата є
payment_waiting_admin,Очікуйте підтвердження оплати
payment_confirmed_short,"Платіж підтверджено ✅
Ваш запис зафіксовано."
payment_confirmed,"✅ Готово! Вашу оплату підтверджено, а запис — закріплено. 🌿

🗓 Дата та час: {slot}

Я чекаю на вас. За 30 хвилин до сесії я надішлю нагадування з посиланням на зустріч.
Якщо виникнуть питання — напишіть у цей чат 💛"
reminder,"🔔 Нагадування!
Ваша сесія з Мірою розпочнеться через 30 хвилин.

🗓 {slot}
🔗 Посилання на зустріч: {link}

До зустрічі! 💛"
package_offer,"Вітаю! 🌿 Ви вже пройшли три сесії — це серйозна робота над собою.

Вам відкрито доступ до пакету консультацій на особливих умовах."
package_offer_card,"💼 Пакет консультацій доступний

📦 4 сесії
💰 130$ замість 140$
⏳ 1 місяць"
btn_buy_package,💼 Оформити пакет
package_method_prompt,Оберіть спосіб оплати пакета 💳
package_paypal,"Оплата пакета через PayPal:

Надішліть оплату на email:
{link}

Сума: 130$

Після оплати натисніть кнопку нижче 👇"
package_monobank,"Оплата пакета на карту:

{card}

Сума: 130$ (у гривнях за курсом НБУ)

Після оплати натисніть кнопку нижче 👇"
btn_paid_package,Оплата є
package_received_pending,Заявку на пакет отримано та очікує підтвердження 💼
admin_package_new,"💼 Користувач {user_id} повідомив про оплату пакета

User: @{username}
Ім'я: {name}
Метод: {method}"
admin_btn_confirm_package,✅ Підтвердити пакет
admin_btn_reject_package,❌ Відхилити пакет
admin_package_confirmed_toast,"Пакет активовано, клієнта повідомлено."
admin_package_rejected_toast,Заявку на пакет відхилено.
package_activated,"Пакет активовано ✅
У вас є 4 консультації 💛"
package_rejected_user,"На жаль, оплату пакета не підтверджено. Зв'яжіться з адміністратором."
package_already_active,У вас вже активний пакет.
method_paypal,PayPal
method_monobank,Monobank
my_bookings_empty,У вас поки що немає активних записів.
my_bookings_header,"📁 Мої записи

Тут ви можете залишати свої думки, спостереження або запитання.

Я перегляну ваші записи в день нашої зустрічі."
my_bookings_card,"🗓 {slot}
Статус: {status}"
btn_cancel_booking,❌ Скасувати запис
btn_reschedule_booking,🔁 Перенести запис
cancel_confirm_free,"Ви справді хочете скасувати запис на {slot}?

До сесії більше 24 годин — скасування безкоштовне, сесія залишиться у вас на балансі."
cancel_confirm_with_quota,"Ви справді хочете скасувати запис на {slot}?

До сесії менше 24 годин. У вас залишилося {left} безкоштовних скасувань — скасування буде безкоштовним."
cancel_confirm_warning,"⚠️ Увага!
До сесії менше 24 годин, а ваші безкоштовні скасування вичерпано.
У разі скасування кошти будуть втрачені.

Продовжити?"
btn_cancel_confirm,"Так, скасувати"
btn_keep_booking,Залишити запис
cancel_done_reusable,Запис скасовано. Сесія збережена у вашому балансі — ви зможете записатися знову без оплати. 🌿
cancel_done_quota,Запис скасовано. Безкоштовних скасувань залишилося: {left}.
cancel_done_lost,"Запис скасовано. На жаль, кошти за цю сесію втрачено."
cancel_kept,Запис залишено без змін. 🌿
cancel_reason_prompt,"Будь ласка, коротко вкажіть причину скасування — одним повідомленням 💛"
cancel_reason_saved,"Дякую, причину збережено."
reschedule_not_allowed,"Перенести запис можна не пізніше, ніж за 24 години до сесії. Зараз доступне лише скасування — натисніть кнопку нижче, якщо потрібно ⬇️"
reschedule_choose_slot,Оберіть новий зручний час для сесії:
reschedule_done,Запис перенесено на {slot}. Нагадування оновлено. 💛
reschedule_no_slots,Вільних слотів немає — спробуйте пізніше або напишіть адміністратору.
btn_back,⬅️ Назад
back_to_menu,Ви в головному меню. Оберіть дію внизу 👇
booking_line,• {slot} — {status}
status_pending,очікує оплати
status_waiting_confirm,очікує підтвердження
status_confirmed,підтверджено ✅
status_done,завершено
status_cancelled,скасовано
profile_header,"👤 {name}
Вік: {age}
Запит: {request}
Досвід терапії: {experience}
Діагнози / медикаменти: {diagnosis}

📊 Статистика:
✅ Пройдено: {sessions_completed}
❌ Скасовано: {sessions_cancelled}
🔁 Безкоштовні переноси: {free_cancellations_left}
💼 Пакет: {package_status}
Сесій на балансі: {available_sessions}"
package_status_active,активний (залишилось {left})
package_status_inactive,не активний
profile_bookings_header,"

📁 Ваші активні записи:"
profile_bookings_line,• {slot} — {status}
profile_bookings_empty,"

📁 Активних записів поки немає."
help_text,"ℹ️ Як користуватися ботом:

/start — головне меню
/book — записатися на сесію
/my — мої записи
/profile — мій профіль

Правила скасування:
• Більше 24 годин до сесії — безкоштовно, сесія зберігається на балансі.
• Менше 24 годин — 2 безкоштовних скасування на 6 місяців.

Якщо щось не працює — напишіть адміністратору."
admin_new_payment,"🔔 Користувач {user_id} повідомив про оплату

👤 Клієнт: {name} (@{username})
Вік: {age}
Запит: {request}

Метод: {method}
Слот: {slot}
Сесій у цього клієнта: {sessions_count}"
admin_btn_confirm,✅ Підтвердити оплату
admin_btn_reject,❌ Відхилити
admin_confirmed_toast,"Оплату підтверджено, клієнта повідомлено."
admin_rejected_toast,Заявку відхилено.
admin_already_processed,Ця заявка вже оброблена.
admin_rejected_user,"На жаль, адміністратор не підтвердив вашу оплату. Зв'яжіться з ним для уточнення."
admin_cancel_notice,ℹ️ Клієнт {name} (id: {user_id}) скасував(-ла) запис на {slot}. Причина скасування: {reason}.
admin_help,"🛠 Команди адміна:

/slots_add DD.MM.YYYY - HH:MM — додати слот
/slots_list — показати слоти
/slots_del <id> — видалити слот
/send <user_id> <повідомлення> — написати клієнту
/bookings — усі записи"
admin_texts_reloaded,"Тексти перезавантажено.
Google Sheets: {google}
Локальний fallback: {local}"
admin_panel_title,"🛠 Адмін-панель
Оберіть розділ:"
admin_menu_clients,👥 Клієнти
admin_menu_today,📅 Сьогодні
